ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
23500,2350083054,981162547,Santha Marta,ITIN,2 Semestre,113.5
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
23500,Bravo,2350021456,95466214,Rio Toachi,ITIN,3,113.5
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
23500,Bautista,2350083065,981162954,Av. Orellana,ITIN,4,113.5
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
23500,Bautista,2350083057,981162924,RioBamba,Agropecuaria,2,79.0
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
2145,Micaela,Beltran,2350016254,981132625,Quevedo,Biotecnologia,3,113.5
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
23600,Rene,Gaibor,2350061548,956632514,Calle Costa,ITIN,2,113.5
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
1444,Soledad,Roca,1456987548,954487512,Quito,ITIN,1,79.0
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
21366,Lola,Perez,2154698654,981162925,Girasoles,ITIN,2,113.5
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
2154,rita,pepe,1245666,12222222,diesart,ITIN,2,79.0
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
1254,GGGGGGGGG,GGGGGGGG,123456789,154698,GGGGGGGGGGG,GGGGGGGGG,2,79.0
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
23500,Dayanara Lisseth,Bautista Moreira,2350098412,981132415,Ecu911,ITIN,2 Semestre,79.0
ID,Nombres,Apellidos,Cedula,Telefono,Direccion,Carrera,Nivel,Costo Matricula
23561,Nana,Veloz,2310045120,952214637,Santa Marta,ITIN,1,113.5
